"Id","LinkedEntityId","ContentDocumentId","IsDeleted","SystemModstamp","ShareType","Visibility"
"06A4P00000B3qzAUAR","0054P00000ADndxQAD","0694P000008YgNsQAK","0","2019-08-21 17:50:48","I","AllUsers"
"06A4P00000B3uR7UAJ","0054P00000AgNLNQA3","0694P000008Yin9QAC","0","2019-08-22 19:22:21","I","AllUsers"
"06A4P00000B3uR8UAJ","02s4P00000hOYdjQAG","0694P000008Yin9QAC","0","2019-08-22 19:22:21","V","AllUsers"
"06A4P00000B3uZUUAZ","0054P00000AgNLNQA3","0694P000008YitgQAC","0","2019-08-22 19:58:30","I","AllUsers"
"06A4P00000B3uZVUAZ","02s4P00000hOZ17QAG","0694P000008YitgQAC","0","2019-08-22 19:58:30","V","AllUsers"
"06A4P00000B3uciUAB","0054P00000AgNLNQA3","0694P000008YivwQAC","0","2019-08-22 20:09:18","I","AllUsers"
"06A4P00000B3ucjUAB","02s4P00000hOZ7tQAG","0694P000008YivwQAC","0","2019-08-22 20:09:18","V","AllUsers"
"06A4P00000B3ufNUAR","0054P00000AgNLNQA3","0694P000008YixxQAC","0","2019-08-22 20:22:28","I","AllUsers"
"06A4P00000B3ufOUAR","02s4P00000hOZCyQAO","0694P000008YixxQAC","0","2019-08-22 20:22:28","V","AllUsers"
"06A4P00000B3ufPUAR","0054P00000AgNLNQA3","0694P000008YixyQAC","0","2019-08-22 20:24:03","I","AllUsers"
"06A4P00000B3ufQUAR","02s4P00000hOZDdQAO","0694P000008YixyQAC","0","2019-08-22 20:24:03","V","AllUsers"
"06A4P00000B3ufSUAR","0054P00000AgNLNQA3","0694P000008Yiy2QAC","0","2019-08-22 20:22:36","I","AllUsers"
"06A4P00000B3ufTUAR","02s4P00000hOZD3QAO","0694P000008Yiy2QAC","0","2019-08-22 20:22:36","V","AllUsers"
"06A4P00000B3ufUUAR","0054P00000AgNLNQA3","0694P000008Yiy3QAC","0","2019-08-22 20:23:42","I","AllUsers"
"06A4P00000B3ufVUAR","02s4P00000hOZD4QAO","0694P000008Yiy3QAC","0","2019-08-22 20:23:42","V","AllUsers"
"06A4P00000B3ufcUAB","0054P00000AgNLNQA3","0694P000008YiyCQAS","0","2019-08-22 20:22:48","I","AllUsers"
"06A4P00000B3ufdUAB","02s4P00000hOZDDQA4","0694P000008YiyCQAS","0","2019-08-22 20:22:48","V","AllUsers"
